timestamp,line_id,equipment_id,sensor_type,value,unit,status
2026-06-15T08:00:00+00:00,LINE-A02,WELD-002,pressure,248.31,kPa,normal
2026-06-15T08:00:05+00:00,LINE-C01,PRESS-002,temperature,67.07,°C,normal
2026-06-15T08:00:10+00:00,LINE-A02,WELD-002,pressure,105.96,kPa,normal
2026-06-15T08:00:15+00:00,LINE-C01,CONVEYOR-001,pressure,212.25,kPa,normal
2026-06-15T08:00:20+00:00,LINE-A01,WELD-001,temperature,51.13,°C,normal
2026-06-15T08:00:25+00:00,LINE-A02,OVEN-002,pressure,155.57,kPa,normal
2026-06-15T08:00:30+00:00,LINE-B01,OVEN-001,temperature,43.87,°C,normal
2026-06-15T08:00:35+00:00,LINE-B02,PRESS-002,temperature,61.45,°C,normal
2026-06-15T08:00:40+00:00,LINE-B01,WELD-002,pressure,225.73,kPa,normal
2026-06-15T08:00:45+00:00,LINE-B01,PRESS-002,pressure,232.25,kPa,normal
2026-06-15T08:00:50+00:00,LINE-B02,OVEN-002,temperature,55.21,°C,normal
2026-06-15T08:00:55+00:00,LINE-B01,PRESS-002,temperature,48.38,°C,normal
2026-06-15T08:01:00+00:00,LINE-A02,WELD-001,pressure,206.83,kPa,normal
2026-06-15T08:01:05+00:00,LINE-C01,WELD-002,vibration,1.98,mm/s,normal
2026-06-15T08:01:10+00:00,LINE-A01,WELD-002,pressure,253.66,kPa,normal
2026-06-15T08:01:15+00:00,LINE-A01,WELD-002,temperature,56.05,°C,normal
2026-06-15T08:01:20+00:00,LINE-B02,CONVEYOR-001,pressure,162.94,kPa,normal
2026-06-15T08:01:25+00:00,LINE-A02,OVEN-001,pressure,152.98,kPa,normal
2026-06-15T08:01:30+00:00,LINE-B02,OVEN-002,pressure,279.56,kPa,normal
2026-06-15T08:01:35+00:00,LINE-B02,PRESS-002,temperature,94.15,°C,alarm
2026-06-15T08:01:40+00:00,LINE-A02,CONVEYOR-001,temperature,46.11,°C,normal
2026-06-15T08:01:45+00:00,LINE-B02,OVEN-001,pressure,176.32,kPa,normal
2026-06-15T08:01:50+00:00,LINE-A01,OVEN-001,pressure,102.3,kPa,normal
2026-06-15T08:01:55+00:00,LINE-A02,ROBOT-001,pressure,158.7,kPa,normal
2026-06-15T08:02:00+00:00,LINE-B01,WELD-001,temperature,88.76,°C,warning
2026-06-15T08:02:05+00:00,LINE-B01,WELD-002,pressure,387.05,kPa,warning
2026-06-15T08:02:10+00:00,LINE-C01,PRESS-001,temperature,46.46,°C,normal
2026-06-15T08:02:15+00:00,LINE-B01,OVEN-001,pressure,103.9,kPa,normal
2026-06-15T08:02:20+00:00,LINE-A01,PRESS-002,temperature,75.12,°C,normal
2026-06-15T08:02:25+00:00,LINE-C01,WELD-001,pressure,113.84,kPa,normal
2026-06-15T08:02:30+00:00,LINE-A02,OVEN-001,temperature,77.87,°C,normal
2026-06-15T08:02:35+00:00,LINE-A02,WELD-002,pressure,184.63,kPa,normal
2026-06-15T08:02:40+00:00,LINE-B01,ROBOT-001,pressure,299.03,kPa,normal
2026-06-15T08:02:45+00:00,LINE-A01,OVEN-002,pressure,149.58,kPa,normal
2026-06-15T08:02:50+00:00,LINE-A02,PRESS-001,temperature,49.2,°C,normal
2026-06-15T08:02:55+00:00,LINE-A01,PRESS-001,temperature,42.35,°C,normal
2026-06-15T08:03:00+00:00,LINE-B02,WELD-002,vibration,0.55,mm/s,normal
2026-06-15T08:03:05+00:00,LINE-C01,ROBOT-001,pressure,287.1,kPa,normal
2026-06-15T08:03:10+00:00,LINE-A02,PRESS-002,temperature,72.3,°C,normal
2026-06-15T08:03:15+00:00,LINE-B02,ROBOT-001,temperature,54.17,°C,normal
2026-06-15T08:03:20+00:00,LINE-A01,PRESS-001,pressure,230.69,kPa,normal
2026-06-15T08:03:25+00:00,LINE-A01,WELD-002,vibration,1.62,mm/s,normal
2026-06-15T08:03:30+00:00,LINE-B02,WELD-001,temperature,57.94,°C,normal
2026-06-15T08:03:35+00:00,LINE-A01,ROBOT-001,vibration,1.76,mm/s,normal
2026-06-15T08:03:40+00:00,LINE-C01,PRESS-001,pressure,230.43,kPa,normal
2026-06-15T08:03:45+00:00,LINE-A02,CONVEYOR-001,temperature,88.49,°C,warning
